ACCESSION_NUMBER	REPORTCALENDARORQUARTER	ISAMENDMENT	AMENDMENTNO	AMENDMENTTYPE	CONFDENIEDEXPIRED	DATEDENIEDEXPIRED	DATEREPORTED	REASONFORNONCONFIDENTIALITY	FILINGMANAGER_NAME	FILINGMANAGER_STREET1	FILINGMANAGER_STREET2	FILINGMANAGER_CITY	FILINGMANAGER_STATEORCOUNTRY	FILINGMANAGER_ZIPCODE	REPORTTYPE	FORM13FFILENUMBER	CRDNUMBER	SECFILENUMBER	PROVIDEINFOFORINSTRUCTION5	ADDITIONALINFORMATION
0001991340-25-000003	30-SEP-2025								Strategic Advocates LLC	55 SOUTH MAIN #100		LOGAN	UT	84321	13F HOLDINGS REPORT	028-23432	000316858	801-126262	N	
0001172661-25-005225	30-SEP-2025	N							Lantern Wealth Advisors, LLC	35 PINELAWN ROAD	SUITE 101E	MELVILLE	NY	11747	13F HOLDINGS REPORT	028-23877	000147420	801-79035	N	
0000019617-25-001093	30-SEP-2025	Y	1	NEW HOLDINGS					JPMORGAN CHASE & CO	383 MADISON AVENUE		NEW YORK	NY	10017	13F HOLDINGS REPORT	028-00694			N	
0001420506-25-003506	30-JUN-2025	Y	1	RESTATEMENT	N				Evelyn Partners Asset Management Ltd	45 Gresham Street		London	X0	EC2V 7BG	13F HOLDINGS REPORT	028-25683			N	
0001420506-25-003504	30-JUN-2025	Y	1	RESTATEMENT	N				Evelyn Partners Investment Management LLP	45 Gresham Street		London	X0	EC2V 7BG	13F HOLDINGS REPORT	028-25685			N	
0001420506-25-003503	30-JUN-2025	Y	1	RESTATEMENT	N				Evelyn Partners Investment Management Services Ltd	45 Gresham Street		London	X0	EC2V 7BG	13F HOLDINGS REPORT	028-25686			N	
0001862443-25-000007	30-SEP-2025								Vermillion & White Wealth Management Group, LLC	521 KIMBERTON ROAD		PHOENIXVILLE	PA	19460	13F HOLDINGS REPORT	028-23763	000168215	801-121066	N	
0001420506-25-003505	30-JUN-2025	Y	1	RESTATEMENT	N				Evelyn Partners Investment Management (Europe) Ltd 	Alexandra House	3 Ballsbridge Park, Ballsbridge	Dublin	L2	D04 C7H2	13F HOLDINGS REPORT	028-25684			N	
0002095947-25-000001	30-SEP-2025								KERR FINANCIAL PLANNING Corp	7255 N FIRST STREET	SUITE 101	FRESNO	CA	93720	13F HOLDINGS REPORT	028-25892	000277142	801-133713	N	
0000884548-25-000006	30-SEP-2025								CONNORS INVESTOR SERVICES INC	CONNORS INVESTOR SERVICES	1210 BROADCASTING ROAD	WYOMISSING	PA	19610	13F HOLDINGS REPORT	028-03751			N	
0001420506-25-003498	30-SEP-2025	N							Court Place Advisors, LLC	3300 NORTH RIDGE ROAD	SUITE 345	ELLICOTT CITY	MD	21043	13F HOLDINGS REPORT	028-15718			N	
0002024333-25-000006	30-SEP-2025								ALEXANDER LABRUNERIE & CO., INC.	601 NIFONG BLVD.	SUITE 3B	COLUMBIA	MO	65203-6804	13F HOLDINGS REPORT	028-24193	000117153	801-108708	N	
0001420506-25-003490	30-SEP-2025	N							LWM Advisory Services, LLC	1250 S PINE ISLAND RD	STE 350	PLANTATION	FL	33324	13F HOLDINGS REPORT	028-22298			N	
0001420506-25-003489	30-SEP-2025	N							Keyes, Stange & Wooten Wealth Management, LLC	1825 Business Park Blvd., Suite E		Daytona Beach	FL	32114	13F HOLDINGS REPORT	028-23861	000139806	801-80151	N	
0001085146-25-006013	30-SEP-2025	Y	1	RESTATEMENT	N				WJ Wealth Management, LLC	18275 NORTH 59TH AVENUE B-112		GLENDALE	AZ	85308	13F HOLDINGS REPORT	028-19724			N	
0001085146-25-006011	30-JUN-2025	N							Payne Capital Management, LLC	231 WEST 29TH STREET	SUITE 1002	New York	NY	10001	13F HOLDINGS REPORT	028-25891	000147119	801-69261	N	
0001085146-25-006010	31-MAR-2025	N							Payne Capital Management, LLC	231 WEST 29TH STREET	SUITE 1002	New York	NY	10001	13F HOLDINGS REPORT	028-25891	000147119	801-69261	N	
0001085146-25-006009	31-DEC-2024	N							Payne Capital Management, LLC	231 WEST 29TH STREET	SUITE 1002	New York	NY	10001	13F HOLDINGS REPORT	028-25891	000147119	801-69261	N	
0001085146-25-006007	30-SEP-2025	N							ARQ WEALTH ADVISORS, LLC	8605 E. RAINTREE DR.	SUITE 240	SCOTTSDALE	AZ	85260	13F HOLDINGS REPORT	028-20252	000147351	801-107346	N	
0001951757-25-001455	30-SEP-2025								Briaud Financial Planning, Inc	1611 CRESCENT POINTE PARKWAY		COLLEGE STATION	TX	77845	13F HOLDINGS REPORT	028-19710			N	
0000890163-25-000012	30-SEP-2025	N							Kimelman & Baird, LLC	800 Third Avenue	Suite 2300	New York	NY	10022	13F HOLDINGS REPORT	028-11298			N	
0001420506-25-003485	30-SEP-2025	N							CHELSEA COUNSEL CO	5855 Topanga canyon blvd.	SUITE 210	Woodland Hills	CA	91367	13F HOLDINGS REPORT	028-10847			N	
0001766918-25-000003	30-SEP-2025	N							Opes Wealth Management LLC	535 MIDDLEFIELD ROAD	SUITE 160	MENLO PARK	CA	94025	13F HOLDINGS REPORT	028-19481	000299704	801-114436	N	
0001483824-25-000007	30-SEP-2025								TD Capital Management LLC	5100 POPLAR AVENUE	SUITE 2904	MEMPHIS	TN	38137	13F HOLDINGS REPORT	028-13750			N	
0001985414-25-000006	30-SEP-2025								Cherry Tree Wealth Management, LLC	301 CARLSON PARKWAY	SUITE 103	MINNETONKA	MN	55305	13F HOLDINGS REPORT	028-23331	000151406	801-70554	N	
0001597690-25-000007	30-SEP-2025	N							Trust Investment Advisors	8440 WOODFIELD CROSSING, SUITE 100		INDIANAPOLIS	IN	46240	13F HOLDINGS REPORT	028-15777	000309233	801-118875	N	
0001640335-25-000006	30-SEP-2025								Pointe Capital Management LLC	102 KERCHEVAL AVE., SUITE 200		GROSSE POINTE FARMS	MI	48236	13F HOLDINGS REPORT	028-16955	000152520	801-70983	N	
0001754960-25-000807	30-JUN-2025								Magnolia Wealth Management, LLC	1535 HONEYSUCKLE ROAD		DOTHAN	AL	36305	13F HOLDINGS REPORT	028-22227	000297598		N	
0001420506-25-003476	30-SEP-2025	N							Manhattan West Asset Management, LLC	1999 Avenue of the Stars	Suite 2500	Los Angeles	CA	90067	13F HOLDINGS REPORT	028-21912			N	
0001252007-25-000008	30-SEP-2025								GRAYBILL WEALTH MANAGEMENT, LTD.	135 S. COTTAGE HILL AVE		ELMHURST	IL	60126	13F HOLDINGS REPORT	028-10614			N	
0001754960-25-000806	30-JUN-2025								William Mack & Associates, Inc.	1301 W. LONG LAKE, STE # 115		TROY	MI	48098	13F HOLDINGS REPORT	028-25873			N	
0001754960-25-000805	31-MAR-2025								William Mack & Associates, Inc.	1301 W. LONG LAKE, STE # 115		TROY	MI	48098	13F HOLDINGS REPORT	028-25873			N	
0001754960-25-000804	31-DEC-2024								William Mack & Associates, Inc.	1301 W. LONG LAKE, STE # 115		TROY	MI	48098	13F HOLDINGS REPORT	028-25873			N	
0001754960-25-000803	30-SEP-2025								LifeGoal Investments, LLC	9 HAMPSTEAD PLACE	UNIT 101	SARATOGA SPRINGS	NY	12866	13F HOLDINGS REPORT	028-24753			N	
0001762716-25-000006	30-SEP-2025								BURKETT FINANCIAL SERVICES, LLC	128 EAST MAIN STREET	STE., 201	ROCK HILL	SC	29730	13F HOLDINGS REPORT	028-23712	000140168	028-23712	N	
0001544204-25-000011	30-SEP-2025	Y	1	RESTATEMENT					Liontrust Investment Partners LLP	2 SAVOY COURT		LONDON	X0	WC2R 0EZ	13F HOLDINGS REPORT	028-20650			Y	Q2 data submitted for Q3 in error
0001353395-25-000006	30-SEP-2025	Y	1	RESTATEMENT					Fulcrum Asset Management LLP	MARBLE ARCH HOUSE	66 SEYMOUR STREET	LONDON	X0	W1H 5BT	13F HOLDINGS REPORT	028-20335	000137661	801-72206	N	
0001757128-25-000009	30-JUN-2025	Y	1	RESTATEMENT					Laurel Wealth Advisors LLC	1355 GREENWOOD CLIFF	SUITE 301	CHARLOTTE	NC	28204	13F HOLDINGS REPORT	028-19063	000118469	801-69151	Y	Information provided previously was not formatted correctly
0001353395-25-000005	30-JUN-2025	Y	1	RESTATEMENT					Fulcrum Asset Management LLP	MARBLE ARCH HOUSE	66 SEYMOUR STREET	LONDON	X0	W1H 5BT	13F HOLDINGS REPORT	028-20335	000137661	801-72206	N	
0001544204-25-000010	30-SEP-2025								Liontrust Investment Partners LLP	2 SAVOY COURT		LONDON	X0	WC2R 0EZ	13F HOLDINGS REPORT	028-20650			N	
0001298088-25-000031	30-SEP-2025								CIBC Private Wealth Group LLC	3290 NORTHSIDE PARKWAY	7TH FLOOR	ATLANTA	GA	30327	13F HOLDINGS REPORT	028-10949			N	
0001798736-25-000007	30-SEP-2025								Capital Square, LLC	1 WEST COLLEGE ST	SUITE 4	ATHENS	TN	37303	13F HOLDINGS REPORT	028-19799			N	
0001869032-25-000003	30-SEP-2025	N							Newport Capital Group, LLC	12 BROAD STREET	5TH FLOOR	RED BANK	NJ	07701	13F HOLDINGS REPORT	028-21288	000160009		N	
0001803255-25-000003	30-SEP-2025	N							Petix & Botte Co	7777 ALVARADO ROAD	SUITE 520	LA MESA	CA	91942	13F HOLDINGS REPORT	028-20026			N	
0001657733-25-000006	30-SEP-2025								Watts Gwilliam & Co., LLC	2730 S. VAL VISTA DR.	STE 124	GILBERT	AZ	85295	13F HOLDINGS REPORT	028-24179			N	
0001298088-25-000030	30-SEP-2025	Y	1	RESTATEMENT					CIBC Bancorp USA Inc.	120 SOUTH LASALLE	LEGAL DEPARTMENT - 4TH FLOOR	CHICAGO	IL	60603	13F HOLDINGS REPORT	028-21342			N	
0002073679-25-000048	30-SEP-2025	Y	1	RESTATEMENT					Alpine Global Management, LLC	140 BROADWAY 38TH FLOOR		NEW YORK	NY	10005	13F HOLDINGS REPORT	028-15932	000153062	801-71246	N	
